iter	Passed	Remaining
0	1	334
1	1	228
2	1	197
3	2	182
4	2	167
5	3	164
6	3	164
7	4	162
8	4	156
9	5	154
10	5	150
11	6	148
12	6	146
13	6	139
14	7	139
15	7	137
16	7	132
17	8	129
18	8	129
19	9	127
20	9	127
21	10	126
22	10	123
23	10	123
24	11	121
25	11	120
26	11	120
27	12	119
28	12	118
29	13	118
30	13	118
31	14	117
32	14	115
33	14	114
34	15	114
35	15	114
36	16	113
37	16	111
38	16	109
39	16	107
40	16	106
41	17	106
42	17	105
43	18	105
44	18	105
45	18	104
46	19	103
47	19	103
48	20	102
49	20	102
50	20	102
51	21	101
52	21	99
53	21	99
54	22	98
55	22	98
56	23	98
57	23	98
58	24	98
59	25	100
60	25	99
61	25	99
62	26	98
63	26	98
64	27	97
65	27	97
66	27	96
67	28	96
68	28	95
69	29	95
70	29	93
71	29	92
72	29	92
73	30	92
74	30	92
75	31	92
76	31	91
77	31	90
78	32	92
79	33	91
80	33	91
81	34	91
82	34	90
83	35	90
84	35	89
85	35	89
86	36	89
87	36	88
88	37	88
89	37	87
90	37	87
91	37	85
92	38	85
93	38	85
94	39	84
95	39	84
96	40	83
97	40	83
98	40	82
99	41	82
100	41	81
101	41	81
102	42	81
103	42	80
104	43	80
105	43	80
106	44	79
107	44	79
108	44	78
109	45	78
110	45	77
111	46	77
112	46	77
113	46	76
114	47	76
115	47	75
116	48	75
117	49	75
118	49	75
119	49	74
120	50	74
121	50	74
122	51	73
123	51	72
124	51	72
125	51	71
126	52	71
127	52	70
128	53	70
129	53	70
130	53	69
131	54	68
132	54	68
133	54	67
134	55	67
135	55	66
136	55	66
137	56	66
138	56	65
139	56	64
140	57	64
141	57	63
142	57	63
143	58	63
144	58	62
145	59	62
146	59	62
147	60	61
148	60	61
149	60	60
150	61	60
151	61	60
152	62	59
153	62	59
154	62	58
155	63	58
156	63	58
157	63	57
158	64	57
159	64	56
160	65	56
161	65	55
162	65	55
163	66	54
164	66	54
165	67	54
166	67	53
167	67	53
168	68	52
169	68	52
170	69	52
171	70	52
172	70	51
173	70	51
174	71	50
175	71	50
176	72	50
177	72	49
178	72	49
179	73	48
180	73	48
181	74	48
182	75	48
183	75	47
184	75	47
185	76	46
186	76	46
187	76	45
188	77	45
189	77	45
190	78	44
191	78	44
192	78	43
193	79	43
194	79	42
195	79	42
196	80	42
197	80	41
198	81	41
199	81	40
200	82	40
201	82	40
202	83	39
203	83	39
204	84	38
205	85	38
206	85	38
207	85	37
208	86	37
209	86	37
210	86	36
211	87	36
212	87	35
213	87	35
214	88	34
215	88	34
216	88	34
217	89	33
218	89	33
219	89	32
220	90	32
221	90	31
222	90	31
223	91	30
224	91	30
225	91	30
226	92	29
227	92	29
228	92	28
229	92	28
230	93	27
231	93	27
232	93	27
233	94	26
234	94	26
235	95	25
236	95	25
237	95	24
238	96	24
239	96	24
240	96	23
241	97	23
242	97	22
243	97	22
244	98	22
245	98	21
246	98	21
247	98	20
248	99	20
249	99	19
250	99	19
251	100	19
252	101	18
253	101	18
254	101	17
255	102	17
256	102	17
257	102	16
258	103	16
259	103	15
260	103	15
261	104	15
262	105	14
263	105	14
264	105	13
265	106	13
266	106	13
267	106	12
268	107	12
269	107	11
270	108	11
271	108	11
272	108	10
273	109	10
274	109	9
275	109	9
276	110	9
277	110	8
278	110	8
279	111	7
280	111	7
281	111	7
282	112	6
283	112	6
284	112	5
285	113	5
286	113	5
287	113	4
288	114	4
289	114	3
290	114	3
291	114	3
292	115	2
293	115	2
294	115	1
295	115	1
296	116	1
297	116	0
298	117	0
299	117	0
